  frequency[Hz]  S11[dB] S11[deg]  S21[dB] S21[deg]
    1.00000e+09   -6.745  -22.997    1.969 -148.532
    1.09000e+09   -7.230  -26.526    1.570 -160.432
    1.18000e+09   -7.816  -30.534    1.172 -172.090
    1.27000e+09   -8.499  -34.718    0.790  176.556
    1.36000e+09   -9.244  -38.946    0.441  165.469
    1.45000e+09  -10.024  -43.345    0.135  154.537
    1.54000e+09  -10.842  -48.137   -0.135  143.681
    1.63000e+09  -11.727  -53.433   -0.378  132.900
    1.72000e+09  -12.708  -59.185   -0.592  122.227
    1.81000e+09  -13.789  -65.304   -0.769  111.665
    1.90000e+09  -14.957  -71.825   -0.901  101.160
    1.99000e+09  -16.204  -78.983   -0.990   90.637
    2.08000e+09  -17.540  -87.148   -1.040   80.047
    2.17000e+09  -18.988  -96.721   -1.054   69.379
    2.26000e+09  -20.557 -108.122   -1.033   58.612
    2.35000e+09  -22.198 -121.894   -0.976   47.696
    2.44000e+09  -23.758 -138.699   -0.888   36.564
    2.53000e+09  -24.954 -158.816   -0.780   25.172
    2.62000e+09  -25.466  178.940   -0.663   13.509
    2.71000e+09  -25.219  157.248   -0.548    1.593
    2.80000e+09  -24.469  138.236   -0.441  -10.554
    2.89000e+09  -23.540  122.302   -0.350  -22.909
    2.98000e+09  -22.629  108.885   -0.281  -35.433
    3.07000e+09  -21.813   97.272   -0.239  -48.074
    3.16000e+09  -21.113   86.875   -0.226  -60.775
    3.25000e+09  -20.529   77.259   -0.241  -73.482
    3.34000e+09  -20.055   68.125   -0.279  -86.155
    3.43000e+09  -19.686   59.287   -0.338  -98.769
    3.52000e+09  -19.413   50.634   -0.415 -111.303
    3.61000e+09  -19.227   42.091   -0.505 -123.739
    3.70000e+09  -19.115   33.593   -0.605 -136.067
    3.79000e+09  -19.066   25.072   -0.711 -148.280
    3.88000e+09  -19.072   16.458   -0.819 -160.382
    3.97000e+09  -19.125    7.687   -0.926 -172.382
    4.06000e+09  -19.219   -1.293   -1.029  175.713
    4.15000e+09  -19.347  -10.523   -1.127  163.893
    4.24000e+09  -19.500  -20.038   -1.219  152.153
    4.33000e+09  -19.667  -29.876   -1.303  140.486
    4.42000e+09  -19.837  -40.076   -1.378  128.883
    4.51000e+09  -19.998  -50.671   -1.441  117.333
    4.60000e+09  -20.138  -61.679   -1.492  105.825
    4.69000e+09  -20.247  -73.090   -1.531   94.348
    4.78000e+09  -20.316  -84.865   -1.556   82.894
    4.87000e+09  -20.335  -96.941   -1.565   71.450
    4.96000e+09  -20.297 -109.239   -1.558   59.998
    5.05000e+09  -20.201 -121.677   -1.533   48.513
    5.14000e+09  -20.050 -134.176   -1.490   36.963
    5.23000e+09  -19.852 -146.663   -1.431   25.315
    5.32000e+09  -19.620 -159.073   -1.359   13.535
    5.41000e+09  -19.366 -171.359   -1.280    1.593
    5.50000e+09  -19.101  176.508   -1.202  -10.527
    5.59000e+09  -18.837  164.536   -1.133  -22.822
    5.68000e+09  -18.583  152.715   -1.081  -35.265
    5.77000e+09  -18.347  141.028   -1.054  -47.806
    5.86000e+09  -18.136  129.458   -1.052  -60.390
    5.95000e+09  -17.955  117.992   -1.076  -72.961
    6.04000e+09  -17.805  106.615   -1.122  -85.475
    6.13000e+09  -17.685   95.309   -1.184  -97.902
    6.22000e+09  -17.591   84.049   -1.258 -110.226
    6.31000e+09  -17.521   72.803   -1.339 -122.441
    6.40000e+09  -17.470   61.539   -1.422 -134.553
    6.49000e+09  -17.434   50.226   -1.504 -146.570
    6.58000e+09  -17.409   38.838   -1.581 -158.507
    6.67000e+09  -17.391   27.355   -1.654 -170.375
    6.76000e+09  -17.373   15.756   -1.719  177.813
    6.85000e+09  -17.351    4.027   -1.777  166.045
    6.94000e+09  -17.319   -7.846   -1.827  154.309
    7.03000e+09  -17.275  -19.866   -1.868  142.596
    7.12000e+09  -17.217  -32.031   -1.900  130.892
    7.21000e+09  -17.142  -44.323   -1.924  119.188
    7.30000e+09  -17.051  -56.723   -1.939  107.476
    7.39000e+09  -16.944  -69.203   -1.947   95.748
    7.48000e+09  -16.824  -81.738   -1.946   83.998
    7.57000e+09  -16.691  -94.303   -1.937   72.215
    7.66000e+09  -16.552 -106.879   -1.920   60.386
    7.75000e+09  -16.410 -119.444   -1.895   48.490
    7.84000e+09  -16.270 -131.978   -1.864   36.507
    7.93000e+09  -16.138 -144.464   -1.829   24.409
    8.02000e+09  -16.016 -156.888   -1.797   12.178
    8.11000e+09  -15.906 -169.245   -1.775   -0.193
    8.20000e+09  -15.812  178.462   -1.771  -12.686
    8.29000e+09  -15.733  166.229   -1.793  -25.253
    8.38000e+09  -15.670  154.046   -1.844  -37.828
    8.47000e+09  -15.624  141.904   -1.923  -50.343
    8.56000e+09  -15.593  129.792   -2.024  -62.744
    8.65000e+09  -15.574  117.695   -2.138  -74.997
    8.74000e+09  -15.565  105.591   -2.259  -87.097
    8.83000e+09  -15.563   93.458   -2.379  -99.053
    8.92000e+09  -15.566   81.274   -2.493 -110.887
    9.01000e+09  -15.574   69.022   -2.597 -122.629
    9.10000e+09  -15.584   56.698   -2.691 -134.306
    9.19000e+09  -15.595   44.305   -2.774 -145.940
    9.28000e+09  -15.603   31.847   -2.848 -157.549
    9.37000e+09  -15.608   19.329   -2.913 -169.143
    9.46000e+09  -15.605    6.756   -2.970  179.269
    9.55000e+09  -15.597   -5.868   -3.020  167.678
    9.64000e+09  -15.582  -18.529   -3.064  156.077
    9.73000e+09  -15.564  -31.204   -3.103  144.461
    9.82000e+09  -15.542  -43.863   -3.139  132.833
    9.91000e+09  -15.516  -56.484   -3.172  121.200
    1.00000e+10  -15.484  -69.059   -3.203  109.573
